Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1814.0,1814.0,1814.0,1814.0,1814.0,202
2022-01-04,1802.0,1802.0,1784.0999755859375,1791.56005859375,1791.56005859375,222
2022-01-05,1762.0,1762.0,1720.0,1720.0,1720.0,96
2022-01-06,1720.31005859375,1725.3900146484375,1711.43994140625,1725.3900146484375,1725.3900146484375,21863
2022-01-07,1725.3900146484375,1725.3900146484375,1725.3900146484375,1725.3900146484375,1725.3900146484375,0
2022-01-10,1690.0,1690.0,1690.0,1690.0,1690.0,1208
2022-01-11,1721.25,1725.0,1720.0,1725.0,1725.0,168
2022-01-12,1725.0,1727.0,1725.0,1727.0,1727.0,158
2022-01-13,1750.5,1750.5,1685.0,1685.0,1685.0,207
2022-01-14,1650.0,1650.0,1650.0,1650.0,1650.0,34
2022-01-17,1650.0,1650.0,1650.0,1650.0,1650.0,0
2022-01-18,1657.0,1657.0,1650.0,1650.0,1650.0,36
2022-01-19,1641.1400146484375,1674.6700439453125,1641.1400146484375,1674.6700439453125,1674.6700439453125,27
2022-01-20,1719.0,1730.0,1686.699951171875,1686.699951171875,1686.699951171875,1436
2022-01-21,1595.0,1595.0,1580.0,1580.0,1580.0,118
2022-01-24,1580.0,1580.0,1580.0,1580.0,1580.0,0
2022-01-25,1580.0,1580.0,1580.0,1580.0,1580.0,0
2022-01-26,1563.0,1563.0,1563.0,1563.0,1563.0,15
2022-01-27,1565.0,1565.0,1505.0,1505.0,1505.0,344
2022-01-28,1465.989990234375,1509.5,1465.989990234375,1509.5,1509.5,353
2022-01-31,1604.0,1619.0,1604.0,1619.0,1619.0,171
2022-02-01,1594.4000244140625,1594.4000244140625,1550.0,1590.0,1590.0,78
2022-02-02,1582.0,1582.0,1579.0,1579.0,1579.0,361
2022-02-03,1550.5,1550.5,1462.1099853515625,1470.0,1470.0,231
2022-02-04,1455.0,1455.0,1434.0,1440.25,1440.25,210
2022-02-08,1449.0,1471.989990234375,1432.0,1471.989990234375,1471.989990234375,437
2022-02-09,1518.0,1518.0,1501.0,1517.989990234375,1517.989990234375,328
2022-02-10,1482.0,1488.0,1474.0,1474.0,1474.0,368
2022-02-11,1460.5999755859375,1460.5999755859375,1427.0,1427.0,1427.0,125
2022-02-14,1427.0,1427.0,1396.5,1396.5,1396.5,204
2022-02-15,1438.0,1469.0,1438.0,1465.4599609375,1465.4599609375,186
2022-02-16,1440.0,1458.0,1440.0,1458.0,1458.0,171
2022-02-17,1440.0,1440.0,1422.0,1423.0,1423.0,352
2022-02-18,1420.0,1420.0,1390.0,1390.9300537109375,1390.9300537109375,1042
2022-02-21,1390.9300537109375,1390.9300537109375,1390.9300537109375,1390.9300537109375,1390.9300537109375,0
2022-02-22,1370.0,1370.0,1335.0,1345.0,1345.0,416
2022-02-23,1328.0,1328.0,1313.0,1313.0,1313.0,267
2022-02-24,1300.0,1412.0,1280.0,1412.0,1412.0,1547
2022-02-25,1412.0,1447.7900390625,1412.0,1431.0,1431.0,148
2022-02-28,1512.0,1540.0,1512.0,1536.8800048828125,1536.8800048828125,1476
2022-03-01,1570.0,1580.0,1561.0,1561.0,1561.0,2575
2022-03-02,1420.0,1422.0,1349.0,1421.3499755859375,1421.3499755859375,2566
2022-03-03,1415.0,1415.0,1385.0,1385.0,1385.0,2636
2022-03-04,1425.010009765625,1505.0,1425.010009765625,1505.0,1505.0,1889
2022-03-07,1559.199951171875,1609.0,1559.199951171875,1602.0,1602.0,587
2022-03-08,1670.0,1736.0,1670.0,1704.1199951171875,1704.1199951171875,514
2022-03-09,1777.0,1777.0,1640.0,1645.0,1645.0,312
2022-03-10,1650.0,1650.0,1570.0,1590.699951171875,1590.699951171875,386
