Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,1034.0,1034.0,924.0,924.0,924.0,309
2022-04-04,924.0,924.0,924.0,924.0,924.0,0
2022-04-05,926.0,926.0,926.0,926.0,926.0,25
2022-04-06,860.0,860.0,800.0,801.0,801.0,301
2022-04-07,804.0999755859375,804.0999755859375,800.0,800.0,800.0,20
2022-04-08,800.0,800.0,783.0,783.0,783.0,25
2022-04-11,795.4000244140625,795.4000244140625,780.6599731445312,783.6500244140625,783.6500244140625,275
2022-04-12,790.0,790.0,758.0,758.7000122070312,758.7000122070312,689
2022-04-13,758.7000122070312,758.7000122070312,758.7000122070312,758.7000122070312,758.7000122070312,0
2022-04-18,800.0,800.0,757.0,765.0,765.0,125
2022-04-19,800.0,810.0,785.0,785.0,785.0,257
2022-04-20,785.0,820.0,735.0,740.0,740.0,863
2022-04-21,740.0,740.0,680.0,680.0,680.0,270
2022-04-22,680.0,680.0,680.0,680.0,680.0,30
2022-04-25,687.0,695.0,680.0,682.0,682.0,381
2022-04-26,683.0,683.0,600.0,629.0,629.0,262
2022-04-27,629.0,629.0,629.0,629.0,629.0,6
2022-04-28,631.0,685.0,620.010009765625,685.0,685.0,917
2022-04-29,700.0,704.0,623.25,623.25,623.25,202
2022-05-02,620.0,655.0,615.0,655.0,655.0,186
2022-05-03,655.0,680.0,643.0,666.0,666.0,278
2022-05-04,650.0,672.0,622.0,672.0,672.0,381
2022-05-05,684.0,684.0,610.0,620.0,620.0,269
2022-05-06,625.0,625.0,575.0,575.0,575.0,69
2022-05-09,575.0,575.0,460.0,469.2200012207031,469.2200012207031,1172
2022-05-10,472.8500061035156,472.8500061035156,431.0,431.0,431.0,399
2022-05-11,452.1000061035156,452.1000061035156,404.0,404.0,404.0,75
2022-05-12,500.0,540.0,500.0,510.0,510.0,912
2022-05-13,530.0,550.0,530.0,550.0,550.0,655
2022-05-16,538.0,550.0,538.0,550.0,550.0,58
2022-05-17,555.0,580.0,523.0,545.0,545.0,78
2022-05-18,551.5499877929688,551.5499877929688,522.010009765625,522.010009765625,522.010009765625,64
2022-05-19,560.0,620.0,560.0,585.0,585.0,492
2022-05-20,600.0,600.0,557.0,565.0,565.0,131
2022-05-23,538.0,538.0,538.0,538.0,538.0,31
2022-05-24,545.0,545.0,510.0,525.0,525.0,76
2022-05-25,545.0,545.0,516.0,525.0,525.0,33
2022-05-26,578.0,615.0,578.0,605.0,605.0,490
2022-05-27,612.0,621.0,605.0,621.0,621.0,1236
2022-05-30,621.0,621.0,621.0,621.0,621.0,0
2022-05-31,618.0,626.0,618.0,626.0,626.0,1433
2022-06-01,626.0,626.0,601.0,601.0,601.0,1732
2022-06-02,631.0,631.0,598.0,626.2000122070312,626.2000122070312,1171
2022-06-03,597.0,600.0,589.0,589.0,589.0,604
2022-06-06,573.0,600.0,550.0,550.0,550.0,175
2022-06-07,550.0,550.0,550.0,550.0,550.0,0
2022-06-08,590.0,590.0,590.0,590.0,590.0,155
2022-06-09,607.0,607.0,607.0,607.0,607.0,33
2022-06-10,607.0,607.0,607.0,607.0,607.0,0
2022-06-13,550.0,550.0,550.0,550.0,550.0,16
2022-06-14,550.0,550.0,550.0,550.0,550.0,0
2022-06-15,550.0,550.0,550.0,550.0,550.0,0
2022-06-16,563.0,563.0,536.0,536.0,536.0,2035
2022-06-17,530.0,540.0,530.0,533.25,533.25,187
2022-06-20,533.25,533.25,533.25,533.25,533.25,0
2022-06-21,533.25,533.25,533.25,533.25,533.25,0
2022-06-22,583.4299926757812,600.0,583.4299926757812,600.0,600.0,399
2022-06-23,600.0,600.0,600.0,600.0,600.0,0
2022-06-24,590.0,590.0,590.0,590.0,590.0,6
2022-06-27,580.0599975585938,580.0599975585938,580.0599975585938,580.0599975585938,580.0599975585938,20
2022-06-28,580.0,580.0,580.0,580.0,580.0,7
2022-06-29,520.0,536.0,520.0,525.0,525.0,151
2022-06-30,525.0,525.0,525.0,525.0,525.0,0
2022-07-01,550.0,550.0,522.0,522.0,522.0,46
2022-07-04,522.0,522.0,522.0,522.0,522.0,0
2022-07-05,523.8099975585938,550.0,523.8099975585938,550.0,550.0,67
2022-07-06,550.0,621.5999755859375,550.0,620.0,620.0,186
2022-07-07,625.0,625.0,622.0,622.0,622.0,514
2022-07-08,670.0,670.0,660.0,660.0,660.0,1544
2022-07-11,660.0,660.0,618.0,618.0,618.0,389
2022-07-12,620.0,622.0,620.0,622.0,622.0,645
2022-07-13,635.0,642.0999755859375,635.0,642.0999755859375,642.0999755859375,43
2022-07-14,642.0999755859375,642.0999755859375,600.0,623.2999877929688,623.2999877929688,443
2022-07-15,640.0,650.0,640.0,650.0,650.0,174
2022-07-18,677.0,678.75,670.0,670.0,670.0,1832
2022-07-19,680.0,680.0,680.0,680.0,680.0,11
2022-07-20,671.2000122070312,685.0,671.2000122070312,672.0,672.0,578
2022-07-21,690.0,700.0,690.0,699.77001953125,699.77001953125,1823
2022-07-22,702.0,702.0,657.719970703125,659.0,659.0,295
2022-07-25,661.0,661.0,643.0,643.0,643.0,187
2022-07-26,637.0,637.0,637.0,637.0,637.0,51
2022-07-27,638.7999877929688,640.0,638.0,638.0,638.0,260
2022-07-28,677.0,677.0,670.0,677.0,677.0,450
2022-07-29,693.25,693.25,693.25,693.25,693.25,620
2022-08-01,693.25,693.25,693.25,693.25,693.25,0
2022-08-02,700.0,730.0,700.0,730.0,730.0,879
2022-08-03,750.0,761.0,750.0,761.0,761.0,39
2022-08-04,733.0,770.0,730.0,750.0,750.0,246
2022-08-05,750.0,750.0,720.0,730.0,730.0,7999
2022-08-08,789.5,803.0,773.0,775.0,775.0,3147
2022-08-09,780.0,780.0,770.0,770.0,770.0,21
2022-08-10,770.0,770.0,730.0,741.0,741.0,447
2022-08-11,787.0,820.0,773.0,779.1599731445312,779.1599731445312,3327
2022-08-12,785.0,799.0,760.0,770.1099853515625,770.1099853515625,3939
2022-08-15,772.0,772.0,740.0,740.010009765625,740.010009765625,182
2022-08-16,720.0,720.0,700.0,720.0,720.0,234
2022-08-17,750.0,750.0,730.010009765625,730.010009765625,730.010009765625,61
2022-08-18,721.0,721.0,721.0,721.0,721.0,385
2022-08-19,695.0,695.0,690.0,690.0,690.0,216
2022-08-22,670.0,670.6300048828125,660.8200073242188,666.5700073242188,666.5700073242188,369
2022-08-23,667.0,667.0,667.0,667.0,667.0,12
2022-08-24,668.0900268554688,670.0,652.8099975585938,660.0,660.0,34
2022-08-25,653.0,657.0,653.0,657.0,657.0,1335
2022-08-26,657.0,657.0,630.0,657.0,657.0,192
2022-08-29,647.0,652.780029296875,647.0,652.780029296875,652.780029296875,28
2022-08-30,652.780029296875,652.780029296875,652.780029296875,652.780029296875,652.780029296875,0
2022-08-31,645.02001953125,650.0,645.02001953125,650.0,650.0,171
2022-09-01,658.8800048828125,658.8800048828125,625.0,625.0,625.0,482
2022-09-02,632.0,649.0,623.010009765625,649.0,649.0,111
2022-09-05,649.0,649.0,649.0,649.0,649.0,0
2022-09-06,649.0,649.0,649.0,649.0,649.0,0
2022-09-07,649.0,649.0,649.0,649.0,649.0,0
2022-09-08,720.0,739.7899780273438,699.2000122070312,726.0,726.0,8592
2022-09-09,712.0,755.1900024414062,712.0,755.1900024414062,755.1900024414062,580
2022-09-12,768.010009765625,773.97998046875,753.0,770.0,770.0,162
2022-09-13,762.5999755859375,790.5,762.5999755859375,777.0,777.0,9896
2022-09-14,762.6099853515625,800.0,762.6099853515625,799.510009765625,799.510009765625,1872
2022-09-15,800.0,825.0,800.0,793.0,793.0,707
2022-09-19,763.0,763.0,749.02001953125,757.3300170898438,757.3300170898438,2541
2022-09-20,731.010009765625,731.010009765625,731.010009765625,731.010009765625,731.010009765625,7
2022-09-21,700.0,701.8200073242188,700.0,701.8200073242188,701.8200073242188,26
2022-09-22,690.0,690.0,690.0,690.0,690.0,434
2022-09-23,690.0,690.0,690.0,690.0,690.0,0
2022-09-26,690.0,690.0,690.0,690.0,690.0,0
2022-09-27,690.0,690.0,690.0,690.0,690.0,25
2022-09-28,690.0,690.0,690.0,690.0,690.0,0
2022-09-29,700.010009765625,700.010009765625,675.0,675.0,675.0,64
2022-09-30,675.0,690.0,675.0,690.0,690.0,180
2022-10-03,650.010009765625,650.010009765625,640.0,646.5800170898438,646.5800170898438,149
2022-10-04,646.5800170898438,646.5800170898438,646.5800170898438,646.5800170898438,646.5800170898438,0
2022-10-05,707.8400268554688,719.1799926757812,697.510009765625,719.1799926757812,719.1799926757812,611
2022-10-06,748.7000122070312,748.7000122070312,715.0,739.0,739.0,684
2022-10-07,739.0,739.0,685.0,685.0,685.0,113
2022-10-10,630.0,630.0,610.0,625.0,625.0,547
2022-10-11,625.0,668.0900268554688,625.0,650.0,650.0,152
2022-10-12,650.0,650.0,650.0,650.0,650.0,0
2022-10-13,650.0,650.0,650.0,650.0,650.0,0
2022-10-14,641.0,641.0,641.0,600.0,600.0,16
2022-10-17,605.0,605.0,605.0,605.0,605.0,5
2022-10-18,605.0,605.0,605.0,605.0,605.0,0
2022-10-19,605.0,605.0,605.0,605.0,605.0,0
2022-10-20,635.0,647.6900024414062,615.0,627.2899780273438,627.2899780273438,1302
2022-10-21,627.2999877929688,627.2999877929688,620.0,621.3200073242188,621.3200073242188,34
